id;title;thumb_image_url;url;price
1;Воротнички парикмахерские;images/thumbs/1.jpg;/productDetail.php?productId=1;120.00
2;Воротнички парикмахерские, спанлейс;images/thumbs/2.jpg;/productDetail.php?productId=2;25.00
3;Пеньюар одноразовый;images/thumbs/3.jpg;/productDetail.php?productId=3;60.00
4;Фартуки одноразовые;images/thumbs/4.jpg;/productDetail.php?productId=4;60.00
5;"Шапочка для покраски -""будёновка""";images/thumbs/5.jpg;/productDetail.php?productId=5;25.00
6;Перчатки полиэтиленовые одноразовые;images/thumbs/6.jpg;/productDetail.php?productId=6;15.00
7;Фольга парикмахерская;images/thumbs/7.jpg;/productDetail.php?productId=7;50.00
8;Фольга 150м / 30см;images/thumbs/8.jpg;/productDetail.php?productId=8;120.00
9;Косынка одноразовая;images/thumbs/9.jpg;/productDetail.php?productId=9;25.00
10;Полотенце одноразовое;images/thumbs/10.jpg;/productDetail.php?productId=10;140.00
11;Полоски для мелирования;images/thumbs/11.jpg;/productDetail.php?productId=11;35.00
12;Бумага для химической завивки;images/thumbs/12.jpg;/productDetail.php?productId=12;35.00
13;Масло для машинок;images/thumbs/13.jpg;/productDetail.php?productId=13;20.00
14;"Масло для машинок ""Moser"". 200 мл";images/thumbs/14.jpg;/productDetail.php?productId=14;290.00
15;"Лезвия ""Спутник""";images/thumbs/15.jpg;/productDetail.php?productId=15;8.00
